anon_student_id,diagram_use,proactive_use,symbolic_incorrect_rate,diagram_incorrect_rate,hint_use,proactive_use_proportion,reactive_use,reactive_use_proportion,condition,school,class,grade,ck_pre,ck_td_pre,ck,ck_td,survey_pre,survey_ave,pk_pre,pk_td_pre,pk,pk_td,transfer_duse,transfer_eq,transfer_solve,transfer_sum,problems_solved,ck_lg,pk_lg
orangekoala,0.22826086956521735,0.1956521739130435,0.2065217391304348,0.22413793103448276,0.8369565217391305,0.8571428571428572,0.03260869565217389,0.14285714285714277,N,W,P5,7,4,1,6,1,3.4,4.4,3,1,0,0,1,0,0,0,21,0.16666666666666666,-1.5
orangelion,0.16071428571428573,0.07142857142857142,0.4107142857142857,0.25,0,0.4444444444444443,0.0892857142857143,0.5555555555555556,N,W,P7,7,12,2,10,1,3.4,3.2,3,1,4,1,1,0,0,0,20,-0.5,0.5
orangemonkey,0.03125,0.02083333333333333,0.04166666666666666,0.04838709677419355,0,0.6666666666666666,0.01041666666666666,0.33333333333333337,N,W,P7,7,12,2,11,1,2.2,2.4,5,2,5,2,0,0,0,0,46,-0.25,NA
orangemouse,0.6091954022988506,0.3218390804597701,0.06896551724137931,0.00892857142857142,0.02298850574712643,0.5283018867924528,0.2873563218390805,0.4716981132075472,N,W,P7,7,12,1,12,1,4.2,3.8,5,2,5,2,1,0,0,0,46,0,NA
orangeowl,0.08496732026143791,0.0588235294117647,0.13725490196078433,0.18571428571428572,0.7254901960784313,0.6923076923076923,0.0261437908496732,0.3076923076923077,N,W,P4,7,12,1,12,1,4.4,4.2,2,0,3,1,0,0,0,0,27,0,0.3333333333333333
superalpaca,0.4927536231884058,0.30434782608695654,1.7391304347826086,0.3,1.115942028985507,0.6176470588235294,0.18840579710144928,0.38235294117647056,Y,B,5A,5,8,1,7,2,3,4.4,0,0,0,0,1,0,0,0,23,-0.125,0
superant,0.5842696629213483,0.2808988764044944,1.4943820224719102,0.125,0.449438202247191,0.4807692307692309,0.3033707865168539,0.5192307692307692,Y,B,5A,5,9,2,8,1,2.6,5,0,0,1,0,1,0,0,0,47,-0.14285714285714285,0.2
superbat,0.3333333333333333,0.22988505747126436,1.4482758620689655,0.1797752808988764,0.10344827586206896,0.6896551724137931,0.10344827586206896,0.31034482758620685,Y,B,5A,5,12,2,10,1,4,4.2,0,0,3,1,1,0,0,0,47,-0.5,0.6
superbee,0.6666666666666666,0.3333333333333333,0.2,0.0423728813559322,0.2111111111111111,0.5,0.3333333333333333,0.5,Y,B,5A,5,6,1,6,1,3,4.6,1,0,0,0,1,0,0,0,36,0,-0.25
superbird,0.3218390804597701,0.20689655172413793,0.2413793103448276,0.19540229885057472,0.10344827586206896,0.6428571428571429,0.11494252873563218,0.35714285714285715,Y,B,5B,5,7,1,8,1,4.4,4.8,1,0,0,0,1,0,0,0,47,0.1111111111111111,-0.25
superbison,0.3563218390804598,0.20689655172413793,0.41379310344827586,0.17777777777777778,0.01149425287356321,0.5806451612903225,0.14942528735632185,0.41935483870967744,Y,B,5B,5,10,2,13,1,3.2,4,1,0,0,0,1,0,0,0,47,0.5,-0.25
superbobcat,0.21839080459770116,0.20689655172413793,0.1724137931034483,0.1346153846153846,2.5057471264367814,0.9473684210526316,0.01149425287356323,0.05263157894736848,Y,B,7G,7,5,2,11,2,3.8,3.8,0,0,3,2,1,0,0,0,19,0.5454545454545454,0.6
supercat,0.20454545454545456,0.17045454545454544,0.25,0.4155844155844156,0.17045454545454544,0.8333333333333333,0.03409090909090911,0.16666666666666677,Y,B,5B,5,6,1,7,1,1.4,5,0,0,1,1,1,0,0,0,42,0.1,0.2
supercoyote,0.5,0.2391304347826087,0.7608695652173914,0.5181818181818182,0,0.4782608695652174,0.2608695652173913,0.5217391304347826,Y,B,7G,7,14,2,14,2,5,5,5,2,5,2,1,1,0,1,47,0,NA
supercrane,0.13157894736842105,0.13157894736842105,0.543859649122807,1.5066666666666666,0.18421052631578944,1,0,0,Y,B,7H,7,12,2,7,1,4.8,5,4,1,4,2,1,0,0,0,32,-1.25,0
superdonkey,0.01149425287356321,0.01149425287356321,0.09195402298850576,0.06666666666666667,0,1,0,0,Y,B,7H,7,7,2,10,2,3,1.4,4,1,5,2,0,0,0,0,47,0.3333333333333333,1
superdragon,0.3582089552238806,0.26865671641791045,0.746268656716418,0.4393939393939394,0.26865671641791045,0.75,0.08955223880597013,0.24999999999999997,Y,B,6A,6,8,2,9,2,NA,NA,0,0,5,2,1,0,0,0,23,0.125,1
superduck,0.3977272727272727,0.2840909090909091,0.3863636363636363,0.42105263157894735,0.2159090909090909,0.7142857142857144,0.1136363636363636,0.2857142857142856,Y,B,6A,6,10,2,10,1,2.6,5,2,0,4,2,1,0,0,0,47,0,0.6666666666666666
supereagle,0.02272727272727272,0.02272727272727272,0.02272727272727272,0.01639344262295082,0,1,0,0,Y,B,6A,6,6,1,13,1,1.4,1,3,1,5,2,0,0,0,0,47,0.7,1
superemu,0.06896551724137931,0.06896551724137931,0.03448275862068965,0.07692307692307693,0,1,0,0,Y,B,7H,7,13,1,14,2,2.6,3.6,5,2,4,1,1,1,1,2,47,0.3333333333333333,0
superfish,0.03370786516853932,0.02247191011235955,0.4943820224719101,0.5161290322580645,0.20224719101123595,0.6666666666666666,0.01123595505617977,0.3333333333333333,Y,B,6A,6,11,2,5,1,1,3,0,0,4,2,1,0,0,0,47,-1.2,0.8
superfrog,0.04444444444444444,0.04444444444444444,0.25555555555555554,0.1111111111111111,0.16666666666666666,1,0,0,Y,B,8G,8,12,2,14,1,4,2.8,5,2,5,2,1,0,0,0,32,0.5,NA
supergoat,0,0,0.03448275862068965,0.05084745762711865,0,NA,0,NA,Y,B,8G,8,13,1,12,1,2.8,1.8,4,2,5,2,1,0,0,0,47,-0.3333333333333333,1
supergoose,0,0,0.02542372881355932,0.01694915254237288,0,NA,0,NA,Y,B,6B,6,12,1,12,1,4.4,1,4,2,4,1,0,0,1,1,47,0,0
superhawk,0.02439024390243902,0.008130081300813,0.16260162601626016,0.12903225806451613,0,0.33333333333333337,0.01626016260162601,0.6666666666666665,Y,B,8G,8,13,1,14,1,3.2,2.6,5,2,5,2,0,0,1,1,47,0.3333333333333333,NA
superhorse,0,0,0.02272727272727272,0.11666666666666668,0,NA,0,NA,Y,B,6B,6,10,2,8,1,1.4,1.4,0,0,2,1,0,1,0,1,37,-0.3333333333333333,0.4
superjellyfish,0.07954545454545454,0.04545454545454545,1.2613636363636365,0.6818181818181818,0.3522727272727273,0.5714285714285715,0.03409090909090909,0.42857142857142855,Y,B,8G,8,8,1,6,1,1,1,2,0,4,2,1,0,0,0,28,-0.25,0.6666666666666666
superkoala,0.02586206896551724,0.01724137931034482,0.2413793103448276,0.43548387096774194,0.1206896551724138,0.6666666666666666,0.00862068965517241,0.3333333333333333,Y,B,6B,6,8,1,11,1,NA,NA,3,0,5,2,0,0,0,0,47,0.375,1
superlion,0.42528735632183906,0.3333333333333333,0.19540229885057472,0.12371134020618556,0.09195402298850576,0.7837837837837838,0.09195402298850576,0.21621621621621623,Y,B,6B,6,4,1,9,2,2,4.2,0,0,0,0,1,0,0,0,32,0.4166666666666667,0
supermole,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.01428571428571428,0.0761904761904762,1,0,0,Y,B,8H,8,13,1,13,1,5,4,5,2,4,1,1,1,0,1,47,0,0
supermonkey,0,0,0,0.15254237288135594,0,NA,0,NA,Y,B,6B,6,14,2,15,2,2.6,3,4,1,5,2,1,0,0,0,47,0.5,1
superpanda,0.24347826086956523,0.21739130434782608,0.20869565217391303,0.10344827586206896,0.01739130434782608,0.8928571428571428,0.02608695652173914,0.1071428571428572,Y,B,8H,8,14,2,13,1,3.4,4,4,2,4,1,1,1,0,1,47,-0.5,0
violetant,0.6060606060606061,0.3333333333333333,0.15151515151515152,0.2,0.3636363636363637,0.5499999999999999,0.27272727272727276,0.45000000000000007,Y,W,P1,7,12,2,11,2,4.4,4,0,0,0,0,1,0,0,0,12,-0.25,0
violetbat,0.05172413793103448,0.05172413793103448,0.14655172413793102,0.01515151515151515,0.06896551724137931,1,0,0,Y,W,P1,7,7,1,10,1,3.6,4.4,3,1,3,1,1,0,0,0,28,0.3333333333333333,0
violetbear,0.3170731707317073,0.2195121951219512,0.4878048780487805,0.6666666666666666,3.317073170731707,0.6923076923076923,0.0975609756097561,0.3076923076923077,Y,W,P1,7,10,1,7,1,3.6,4,2,0,2,0,1,0,0,0,8,-0.5,0
violetbee,0.2903225806451613,0.2043010752688172,0.3655913978494624,0.19718309859154928,1.827956989247312,0.7037037037037037,0.08602150537634409,0.2962962962962963,Y,W,P3,7,9,1,11,1,3.2,3.2,0,0,0,0,0,0,0,0,23,0.2857142857142857,0
